"capa"
"gis:AG_Control"
"gis:AG_Nodos"
"gis:AG_Symbols"
"gis:aerodromo"
"gis:aerodromo_poligono"
"gis:turismo_alojamientos"
"gis:antenas"
"gis:antiguos_nombres_de_calles"
"gis:area_de_fabricacion_y_procesamiento"
"gis:area_promocion_urbana"
"gis:areas_programaticas"
"gis:salud"
"gis:barrido"
"gis:barrios"
"geonode:barrios"
"gis:barrios_populares"
"gis:bibliotecas"
"gis:bosques_nativos"
"gis:botellometros_y_corazones"
"gis:el buen pagador"
"geonode:caps"
"gis:CL_Control"
"gis:CL_Flujo"
"gis:CL_Nodos"
"gis:CL_Symbols"
"gis:CL_Symsee"
"gis:callejero"
"gis:callejero_alturas"
"gis:callejero_relevamiento"
"gis:camaras"
"gis:cementerio_punto"
"gis:cementerio"
"gis:Censo_2022_Cantidad_de_habitantes_por_hogar"
"gis:Censo_2022_Cobertura_de_salud"
"gis:Censo_2022_Cursando_nivel_educativo_por_grupo_quinquenal"
"gis:Censo_2022_Educacion_por_grupo_quinquenal"
"gis:Censo_2022_Hogares_con_saneamiento_cloacal"
"gis:Censo_2022_Hogares_con_tenencia_de_agua"
"gis:Censo_2022_Indices_de_empleo"
"gis:Censo_2022_NBI"
"gis:Censo_2022_NBI_Capacidad_de_subsistencia"
"gis:Censo_2022_NBI_Condiciones_sanitarias"
"gis:Censo_2022_NBI_Escolaridad"
"gis:Censo_2022_NBI_Hacinamiento"
"gis:Censo_2022_NBI_Vivienda_tipo_inconveniente"
"gis:Censo_2022_Poblacion_en_grupos_quinquenales"
"gis:Censo_2022_Sexo_registrado_al_nacer"
"gis:Censo_2022_Tipos_de_vivienda"
"gis:clubes"
"gis:colegios_profesionales"
"gis:v_comercios_alimentos"
"gis:comercios_habilitados"
"gis:comisarias"
"gis:comisiones"
"gis:confiterias_de_ayer"
"gis:Corralitos_10760"
"gis:POT_corredores"
"gis:corriente_de_agua"
"gis:cuartel_de_bomberos"
"gis:cuencas"
"gis:cuencas_rios"
"gis:curvas_nivel"
"gis:curvas_nivel_google_10m"
"gis:curvas_nivel_google_1m"
"gis:curvas_nivel_google_2.5m"
"gis:deportes"
"gis:desagues"
"gis:edificio_de_cultura"
"gis:edificio_de_salud"
"gis:edificio_de_seguridad"
"gis:edificio_educativo"
"gis:edificio_religioso"
"gis:educacion_adultos"
"gis:educacion_primaria"
"gis:educacion_secundaria"
"gis:ejido"
"gis:Electroducto"
"gis:Electroducto Restriccion 18"
"gis:Electroducto Restriccion 30"
"gis:Electroducto Seguridad 8"
"gis:electrotecnia"
"gis:espacios_verdes"
"gis:espacios_verdes_p"
"gis:estacion_de_omnibus"
"gis:estacion_verde"
"gis:estacionamiento_medido"
"gis:estacion_de_servicio"
"gis:estaciones_tranvia"
"gis:fuerzas_publicas"
"gis:gobierno_local"
"gis:Hidrantes"
"gis:hidrografia"
"gis:hogares_cristo"
"gis:icv"
"gis:iglesias"
"gis:instalacion_deportiva_y_de_esparcimiento"
"gis:instalacion_militar"
"gis:institucion_penitenciaria_punto"
"gis:institucion_penitenciaria_poligono"
"gis:internet_enlaces"
"gis:inundacion"
"gis:isla"
"gis:laminas_catastrales"
"gis:localidad"
"gis:loteos"
"gis:deportes_publicos"
"gis:manzanero"
"gis:monumento"
"gis:nbi_fraccion"
"gis:nbi_radio"
"gis:POT_nuevas_centralidades"
"gis:oficina_de_turismo"
"gis:organismos_oficiales"
"gis:POT_residencial"
"gis:POT_zonas"
"gis:POT_residencial_1"
"gis:POT_residencial_2"
"gis:POT_urbano"
"gis:parador"
"gis:datos_parcela"
"gis:parcelario"
"gis:parcelario_info"
"gis:parcelario_medidas"
"gis:edificios_de_interes_patrimonial"
"gis:patrimonio"
"gis:patrimonio_punto"
"gis:edificios_de_interes_patrimonial_punto"
"gis:planta_transformadora_punto"
"gis:planta_transformadora_poligono"
"gis:planta_urbana"
"gis:plaza_san_martin"
"gis:pozo_agua"
"gis:pozos_agua"
"gis:p_participativo"
"gis:presupuesto_participativo"
"gis:provincia"
"gis:puentes"
"gis:puntos_igm"
"gis:radios_censales"
"gis:recoleccion"
"gis:higiene_urbana"
"gis:recorrido_tranvia"
"gis:red_cloaca_unificada"
"gis:red_agua"
"gis:AG_Tramos"
"gis:red_cloaca"
"gis:CL_Tramos"
"gis:gas"
"gis:rios"
"gis:secciones"
"gis:semaforos"
"gis:servicio_agua"
"gis:servicio_cloaca"
"gis:servicio_higiene_urbana"
"gis:serv_transporte"
"gis:sobretasa"
"gis:sube"
"gis:suelos"
"gis:trama_vial"
"gis:transito_pesado"
"gis:turismo"
"gis:universidades"
"gis:viviendas"
"gis:POT_yaguari_guazu"
"gis:zonas_recoleccion_higiene_urbana"
"gis:zonificacion"
"gis:aru"
"gis:avion"
"gis:avisos_vecinos_calor"
"gis:avisos_vecinos_puntos"
"gis:bicisendas"
"gis:calzada"
"gis:Calzadas"
"gis:camaras0"
"gis:turismo_campings"
"gis:cem_calles"
"gis:cem_parcelas"
"gis:cem_secciones"
"gis:censo_2010"
"gis:censo_agrupado_areas_programaticas"
"gchu:covid19"
"gchu:covid19p"
"gchu:covidr"
"gis:turismo_cultural"
"gis:datos_parcela_txt"
"gis:dividido"
"gis:espacios_publicos_odk"
"gis:est_salud"
"gis:establecimientos_educativos"
"gis:farmacias"
"gis:fibra_optica_troncal"
"gis:turismo_gastronomia"
"gis:imasat_grilla"
"gis:internet_fibra_optica"
"gis:internet_nodos"
"gis:linea_1"
"gis:linea_2"
"gis:linea_4"
"gis:linea_5"
"gis:lineas_de_colectivos"
"gis:nbi_por_area"
"gis:paradas_de_colectivos"
"gis:partidas"
"gis:turismo_playas"
"gis:registro_civil"
"gis:rim_tickets (3)"
"gis:ruta_nacional"
"gis:ruta_provincial"
"gis:tgi"
"gis:unidad_productiva"
"gis:usos_suelo"
"gis:v_inmobiliario"
"gis:valores"
"gis:veredas"
"gis:POT_areas_especiales"
